Date,ws,sr,rh,temp
01/10/2016,0.75,110.78,67.23,28
02/10/2016,0.88,100.17,68.99,28.01
03/10/2016,0.76,101.69,67.63,29
04/10/2016,0.65,61.83,78.33,29.09
05/10/2016,0.48,62.42,80.25,27.64
06/10/2016,0.52,93.4,75.62,25.81
07/10/2016,0.93,109.96,69.38,25.89
08/10/2016,0.91,110.89,66.08,25.3
09/10/2016,0.6,106.94,68.41,26.01
10/10/2016,0.74,89.89,61.28,26.06
11/10/2016,0.95,110.01,61.45,26.24
12/10/2016,1.01,110.2,54.92,24.4
13/10/2016,1.21,111.17,47.72,26.53
14/10/2016,0.91,109.91,51.47,25.24
15/10/2016,0.84,107.07,55.43,24.84
16/10/2016,0.9,107.62,51.71,23.14
17/10/2016,0.8,106.82,52.88,23
18/10/2016,0.87,106.09,52.59,22.8
19/10/2016,0.79,105.38,51.45,22.54
20/10/2016,0.88,107.96,49.4,22.8
21/10/2016,1.06,107.64,48.66,22.9
22/10/2016,1.14,107.25,50.69,23.23
23/10/2016,1.07,100.52,51.69,24.35
24/10/2016,1.03,104.13,49.83,23.7
25/10/2016,1.19,105.61,51.18,22.16
26/10/2016,0.73,100.28,57.1,22.2
27/10/2016,0.84,100.97,57.86,22.12
28/10/2016,0.82,98.74,56.04,21.09
29/10/2016,0.45,85.52,60.93,20.47
30/10/2016,0.55,90.01,66.54,20.01
31/10/2016,0.49,87.25,67.77,20.02
01/11/2016,0.57,93.31,64.91,19.59
02/11/2016,0.48,76.89,68.99,19.84
03/11/2016,0.51,93.6,66.84,19.55
04/11/2016,0.6,87.65,65.63,18.02
05/11/2016,0.67,65.84,71.45,18.18
06/11/2016,0.44,65.05,74.69,17.09
07/11/2016,0.98,107.43,63.33,17.01
08/11/2016,1.33,91.53,51.71,18.02
09/11/2016,0.74,90.42,56.35,17.36
10/11/2016,0.55,87.7,56.34,16.02
11/11/2016,0.68,85.22,63.57,16.6
12/11/2016,0.66,82.08,65.96,16.05
13/11/2016,0.69,82.82,62.73,16.3
14/11/2016,0.49,31.12,57.01,17.08
15/11/2016,0.66,80.63,58.72,16.2
16/11/2016,0.8,83.19,55.59,16.11
17/11/2016,1.02,87.12,51.06,17.29
18/11/2016,0.88,84.47,55.06,15.06
19/11/2016,0.62,84.72,59.02,14
20/11/2016,0.63,81.98,63.73,15.1
21/11/2016,0.52,59.69,72.99,14.03
22/11/2016,0.89,86.76,50.76,15.12
23/11/2016,0.78,85.16,58.81,16.9
24/11/2016,1,82.59,55.91,15.08
25/11/2016,2.26,86.27,34.22,15.12
26/11/2016,1.97,86.36,35.04,16.29
27/11/2016,1.64,86.09,37.48,17.74
28/11/2016,1.25,87.08,41.67,16.17
29/11/2016,0.46,63.31,60.46,15.74
30/11/2016,0.85,81.14,77.13,15.5
01/12/2016,0.61,59.43,82.67,14.02
02/12/2016,0.62,64.62,79.67,14.88
03/12/2016,0.76,68.17,79.19,13.09
04/12/2016,0.6,49.15,51.89,14
05/12/2016,0.67,75.73,60.91,13.27
06/12/2016,0.53,57.2,71.93,13.29
07/12/2016,0.5,66.17,76.45,12.08
08/12/2016,0.6,66.69,77.99,12.2
09/12/2016,0.61,70.94,71.93,11.95
10/12/2016,1.37,61.88,80.49,12.11
11/12/2016,0.87,70.39,76.01,11.21
12/12/2016,0.64,71.88,65.66,13.27
13/12/2016,0.75,67.62,64.92,14.1
14/12/2016,0.95,74.74,66.68,13.07
15/12/2016,1.06,74.26,64.74,13.41
16/12/2016,0.7,73.06,64.15,12.08
17/12/2016,0.7,63.53,69.81,11.81
18/12/2016,0.71,72.23,68.32,10.76
19/12/2016,1.07,70.08,65.94,10.02
20/12/2016,1.91,74.84,56.78,11.05
21/12/2016,1.49,77.46,56.05,12.09
22/12/2016,0.83,71.74,61.46,12.05
23/12/2016,0.54,62.01,72.19,12.15
24/12/2016,1.05,61.33,74.51,10.61
25/12/2016,1.41,17.68,81.16,11.46
26/12/2016,1.1,70.68,71.93,10.47
27/12/2016,0.81,29.36,80.22,10.94
28/12/2016,0.66,78.97,63.86,9.89
29/12/2016,1.38,62.68,75.87,10
30/12/2016,1.79,149.55,70.22,9.62
31/12/2016,1.39,103.35,76.78,9.46
