Date,ws,sr,rh,temp,so2,o3,no2,pm10
01/10/2016,0.69,112.36,61.95,29.11,20.6,34.53,69.13,224.77
02/10/2016,0.66,95.75,63.6,29.32,20.25,27.62,60.59,183.22
03/10/2016,0.67,109.16,61.2,30.04,12.7,22.37,69.63,186.21
04/10/2016,0.84,88.16,68.82,27.42,13.59,28.32,78.61,228.04
05/10/2016,0.5,41.74,73.61,24.81,17.65,7.21,85.63,161.01
06/10/2016,0.58,97,67.53,26.89,15.56,25.31,90.3,217.29
07/10/2016,0.83,116.3,64.02,27.19,21.99,29.9,78.23,225.79
08/10/2016,0.76,117.57,60.3,27.01,14.39,38.55,77.4,244.2
09/10/2016,0.59,112.86,60.5,26.96,13.69,82.59,99.6,282.81
10/10/2016,0.79,100.1,52.44,26.4,13.33,54.83,92.35,243.46
11/10/2016,0.91,118.69,54.28,25.4,17.67,73.44,80.49,294.31
12/10/2016,1.2,119.69,45.52,25.13,17.55,55.65,81.14,245.56
13/10/2016,1.21,121.22,42.19,24.84,19.87,44.41,78.46,244.2
14/10/2016,1.02,118.9,43.4,24.84,18.79,46.81,83.01,225.38
15/10/2016,0.82,114.73,47.63,23.54,18.21,77.56,100.66,318.05
16/10/2016,0.88,115.76,47.74,23.89,27.98,70,79.2,265.12
17/10/2016,0.83,115.8,46.14,23.8,29.81,63.11,91.41,312.81
18/10/2016,0.86,114.2,46.2,23.54,27.84,64.09,92.68,341.56
19/10/2016,0.75,111.71,46.35,23.8,27.99,60.46,88.01,336.44
20/10/2016,0.91,113.25,43.66,23.99,22.03,44.56,77.43,320.03
21/10/2016,1.12,112.17,41.6,24.23,28.19,47.07,70.3,318.78
22/10/2016,1.19,112.45,44.05,24.35,25.36,42.15,68.87,343.23
23/10/2016,1.21,104.76,43.64,23.7,18.48,68.86,80.8,336.04
24/10/2016,1.05,104.93,44.22,23.65,31.95,55.69,80.87,354.13
25/10/2016,1.22,110.17,47.86,23.28,28.86,41.66,70.19,310.3
26/10/2016,0.76,106.51,50.63,23.02,33,52.07,100.24,416.17
27/10/2016,0.79,106.28,50.46,22.29,23.67,73.43,109.54,545.61
28/10/2016,0.85,104.28,48.94,21.17,25.34,69.51,95.69,571.9
29/10/2016,0.44,94.05,56.62,20.58,34.22,51.21,147.77,627.47
30/10/2016,0.53,94.23,62.29,20.31,43.52,60.16,105.87,566.51
31/10/2016,0.43,85.22,65.44,19.59,66.2,48,107.44,917.06
