Parameter,Date,Concentration,Unit
Relative Humidity(RH),01/10/2016,67.23,%
,02/10/2016,68.99,%
,03/10/2016,67.63,%
,04/10/2016,78.33,%
,05/10/2016,80.25,%
,06/10/2016,75.62,%
,07/10/2016,69.38,%
,08/10/2016,66.08,%
,09/10/2016,68.41,%
,10/10/2016,61.28,%
,11/10/2016,61.45,%
,12/10/2016,54.92,%
,13/10/2016,47.72,%
,14/10/2016,51.47,%
,15/10/2016,55.43,%
,16/10/2016,51.71,%
,17/10/2016,52.88,%
,18/10/2016,52.59,%
,19/10/2016,51.45,%
,20/10/2016,49.4,%
,21/10/2016,48.66,%
,22/10/2016,50.69,%
,23/10/2016,51.69,%
,24/10/2016,49.83,%
,25/10/2016,51.18,%
,26/10/2016,57.1,%
,27/10/2016,57.86,%
,28/10/2016,56.04,%
,29/10/2016,60.93,%
,30/10/2016,66.54,%
,31/10/2016,67.77,%
,01/11/2016,64.91,%
,02/11/2016,68.99,%
,03/11/2016,66.84,%
,04/11/2016,65.63,%
,05/11/2016,71.45,%
,06/11/2016,74.69,%
,07/11/2016,63.33,%
,08/11/2016,51.71,%
,09/11/2016,56.35,%
,10/11/2016,56.34,%
,11/11/2016,63.57,%
,12/11/2016,65.96,%
,13/11/2016,62.73,%
,14/11/2016,57.01,%
,15/11/2016,58.72,%
,16/11/2016,55.59,%
,17/11/2016,51.06,%
,18/11/2016,55.06,%
,19/11/2016,59.02,%
,20/11/2016,63.73,%
,21/11/2016,72.99,%
,22/11/2016,50.76,%
,23/11/2016,58.81,%
,24/11/2016,55.91,%
,25/11/2016,34.22,%
,26/11/2016,35.04,%
,27/11/2016,37.48,%
,28/11/2016,41.67,%
,29/11/2016,60.46,%
,30/11/2016,77.13,%
,01/12/2016,82.67,%
,02/12/2016,79.67,%
,03/12/2016,79.19,%
,04/12/2016,51.89,%
,05/12/2016,60.91,%
,06/12/2016,71.93,%
,07/12/2016,76.45,%
,08/12/2016,77.99,%
,09/12/2016,71.93,%
,10/12/2016,80.49,%
,11/12/2016,76.01,%
,12/12/2016,65.66,%
,13/12/2016,64.92,%
,14/12/2016,66.68,%
,15/12/2016,64.74,%
,16/12/2016,64.15,%
,17/12/2016,69.81,%
,18/12/2016,68.32,%
,19/12/2016,65.94,%
,20/12/2016,56.78,%
,21/12/2016,56.05,%
,22/12/2016,61.46,%
,23/12/2016,72.19,%
,24/12/2016,74.51,%
,25/12/2016,81.16,%
,26/12/2016,71.93,%
,27/12/2016,80.22,%
,28/12/2016,63.86,%
,29/12/2016,75.87,%
,30/12/2016,70.22,%
,31/12/2016,76.78,%
