Parameter,Date,Concentration,Unit
Solar Radiation(SR),01/10/2016,110.78,w/m2
,02/10/2016,100.17,w/m2
,03/10/2016,101.69,w/m2
,04/10/2016,61.83,w/m2
,05/10/2016,62.42,w/m2
,06/10/2016,93.4,w/m2
,07/10/2016,109.96,w/m2
,08/10/2016,110.89,w/m2
,09/10/2016,106.94,w/m2
,10/10/2016,89.89,w/m2
,11/10/2016,110.01,w/m2
,12/10/2016,110.2,w/m2
,13/10/2016,111.17,w/m2
,14/10/2016,109.91,w/m2
,15/10/2016,107.07,w/m2
,16/10/2016,107.62,w/m2
,17/10/2016,106.82,w/m2
,18/10/2016,106.09,w/m2
,19/10/2016,105.38,w/m2
,20/10/2016,107.96,w/m2
,21/10/2016,107.64,w/m2
,22/10/2016,107.25,w/m2
,23/10/2016,100.52,w/m2
,24/10/2016,104.13,w/m2
,25/10/2016,105.61,w/m2
,26/10/2016,100.28,w/m2
,27/10/2016,100.97,w/m2
,28/10/2016,98.74,w/m2
,29/10/2016,85.52,w/m2
,30/10/2016,90.01,w/m2
,31/10/2016,87.25,w/m2
,01/11/2016,93.31,w/m2
,02/11/2016,76.89,w/m2
,03/11/2016,93.6,w/m2
,04/11/2016,87.65,w/m2
,05/11/2016,65.84,w/m2
,06/11/2016,65.05,w/m2
,07/11/2016,107.43,w/m2
,08/11/2016,91.53,w/m2
,09/11/2016,90.42,w/m2
,10/11/2016,87.7,w/m2
,11/11/2016,85.22,w/m2
,12/11/2016,82.08,w/m2
,13/11/2016,82.82,w/m2
,14/11/2016,31.12,w/m2
,15/11/2016,80.63,w/m2
,16/11/2016,83.19,w/m2
,17/11/2016,87.12,w/m2
,18/11/2016,84.47,w/m2
,19/11/2016,84.72,w/m2
,20/11/2016,81.98,w/m2
,21/11/2016,59.69,w/m2
,22/11/2016,86.76,w/m2
,23/11/2016,85.16,w/m2
,24/11/2016,82.59,w/m2
,25/11/2016,86.27,w/m2
,26/11/2016,86.36,w/m2
,27/11/2016,86.09,w/m2
,28/11/2016,87.08,w/m2
,29/11/2016,63.31,w/m2
,30/11/2016,81.14,w/m2
,01/12/2016,59.43,w/m2
,02/12/2016,64.62,w/m2
,03/12/2016,68.17,w/m2
,04/12/2016,49.15,w/m2
,05/12/2016,75.73,w/m2
,06/12/2016,57.2,w/m2
,07/12/2016,66.17,w/m2
,08/12/2016,66.69,w/m2
,09/12/2016,70.94,w/m2
,10/12/2016,61.88,w/m2
,11/12/2016,70.39,w/m2
,12/12/2016,71.88,w/m2
,13/12/2016,67.62,w/m2
,14/12/2016,74.74,w/m2
,15/12/2016,74.26,w/m2
,16/12/2016,73.06,w/m2
,17/12/2016,63.53,w/m2
,18/12/2016,72.23,w/m2
,19/12/2016,70.08,w/m2
,20/12/2016,74.84,w/m2
,21/12/2016,77.46,w/m2
,22/12/2016,71.74,w/m2
,23/12/2016,62.01,w/m2
,24/12/2016,61.33,w/m2
,25/12/2016,17.68,w/m2
,26/12/2016,70.68,w/m2
,27/12/2016,29.36,w/m2
,28/12/2016,78.97,w/m2
,29/12/2016,62.68,w/m2
,30/12/2016,149.55,w/m2
,31/12/2016,103.35,w/m2
