Parameter,Date,Concentration,Unit
Temperature,01/10/2016,28,°C
,02/10/2016,28.01,°C
,03/10/2016,29,°C
,04/10/2016,29.09,°C
,05/10/2016,27.64,°C
,06/10/2016,25.81,°C
,07/10/2016,25.89,°C
,08/10/2016,25.3,°C
,09/10/2016,26.01,°C
,10/10/2016,26.06,°C
,11/10/2016,26.24,°C
,12/10/2016,24.4,°C
,13/10/2016,26.53,°C
,14/10/2016,25.24,°C
,15/10/2016,24.84,°C
,16/10/2016,23.14,°C
,17/10/2016,23,°C
,18/10/2016,22.8,°C
,19/10/2016,22.54,°C
,20/10/2016,22.8,°C
,21/10/2016,22.9,°C
,22/10/2016,23.23,°C
,23/10/2016,24.35,°C
,24/10/2016,23.7,°C
,25/10/2016,22.16,°C
,26/10/2016,22.2,°C
,27/10/2016,22.12,°C
,28/10/2016,21.09,°C
,29/10/2016,20.47,°C
,30/10/2016,20.01,°C
,31/10/2016,20.02,°C
,01/11/2016,19.59,°C
,02/11/2016,19.84,°C
,03/11/2016,19.55,°C
,04/11/2016,18.02,°C
,05/11/2016,18.18,°C
,06/11/2016,17.09,°C
,07/11/2016,17.01,°C
,08/11/2016,18.02,°C
,09/11/2016,17.36,°C
,10/11/2016,16.02,°C
,11/11/2016,16.6,°C
,12/11/2016,16.05,°C
,13/11/2016,16.3,°C
,14/11/2016,17.08,°C
,15/11/2016,16.2,°C
,16/11/2016,16.11,°C
,17/11/2016,17.29,°C
,18/11/2016,15.06,°C
,19/11/2016,14,°C
,20/11/2016,15.1,°C
,21/11/2016,14.03,°C
,22/11/2016,15.12,°C
,23/11/2016,16.9,°C
,24/11/2016,15.08,°C
,25/11/2016,15.12,°C
,26/11/2016,16.29,°C
,27/11/2016,17.74,°C
,28/11/2016,16.17,°C
,29/11/2016,15.74,°C
,30/11/2016,15.5,°C
,01/12/2016,14.02,°C
,02/12/2016,14.88,°C
,03/12/2016,13.09,°C
,04/12/2016,14,°C
,05/12/2016,13.27,°C
,06/12/2016,13.29,°C
,07/12/2016,12.08,°C
,08/12/2016,12.2,°C
,09/12/2016,11.95,°C
,10/12/2016,12.11,°C
,11/12/2016,11.21,°C
,12/12/2016,13.27,°C
,13/12/2016,14.1,°C
,14/12/2016,13.07,°C
,15/12/2016,13.41,°C
,16/12/2016,12.08,°C
,17/12/2016,11.81,°C
,18/12/2016,10.76,°C
,19/12/2016,10.02,°C
,20/12/2016,11.05,°C
,21/12/2016,12.09,°C
,22/12/2016,12.05,°C
,23/12/2016,12.15,°C
,24/12/2016,10.61,°C
,25/12/2016,11.46,°C
,26/12/2016,10.47,°C
,27/12/2016,10.94,°C
,28/12/2016,9.89,°C
,29/12/2016,10,°C
,30/12/2016,9.62,°C
,31/12/2016,9.46,°C
