Parameter,Date,Concentration,Unit
Wind Speed (WS),01/10/2016,0.75,m/s
,02/10/2016,0.88,m/s
,03/10/2016,0.76,m/s
,04/10/2016,0.65,m/s
,05/10/2016,0.48,m/s
,06/10/2016,0.52,m/s
,07/10/2016,0.93,m/s
,08/10/2016,0.91,m/s
,09/10/2016,0.6,m/s
,10/10/2016,0.74,m/s
,11/10/2016,0.95,m/s
,12/10/2016,1.01,m/s
,13/10/2016,1.21,m/s
,14/10/2016,0.91,m/s
,15/10/2016,0.84,m/s
,16/10/2016,0.9,m/s
,17/10/2016,0.8,m/s
,18/10/2016,0.87,m/s
,19/10/2016,0.79,m/s
,20/10/2016,0.88,m/s
,21/10/2016,1.06,m/s
,22/10/2016,1.14,m/s
,23/10/2016,1.07,m/s
,24/10/2016,1.03,m/s
,25/10/2016,1.19,m/s
,26/10/2016,0.73,m/s
,27/10/2016,0.84,m/s
,28/10/2016,0.82,m/s
,29/10/2016,0.45,m/s
,30/10/2016,0.55,m/s
,31/10/2016,0.49,m/s
,01/11/2016,0.57,m/s
,02/11/2016,0.48,m/s
,03/11/2016,0.51,m/s
,04/11/2016,0.6,m/s
,05/11/2016,0.67,m/s
,06/11/2016,0.44,m/s
,07/11/2016,0.98,m/s
,08/11/2016,1.33,m/s
,09/11/2016,0.74,m/s
,10/11/2016,0.55,m/s
,11/11/2016,0.68,m/s
,12/11/2016,0.66,m/s
,13/11/2016,0.69,m/s
,14/11/2016,0.49,m/s
,15/11/2016,0.66,m/s
,16/11/2016,0.8,m/s
,17/11/2016,1.02,m/s
,18/11/2016,0.88,m/s
,19/11/2016,0.62,m/s
,20/11/2016,0.63,m/s
,21/11/2016,0.52,m/s
,22/11/2016,0.89,m/s
,23/11/2016,0.78,m/s
,24/11/2016,1,m/s
,25/11/2016,2.26,m/s
,26/11/2016,1.97,m/s
,27/11/2016,1.64,m/s
,28/11/2016,1.25,m/s
,29/11/2016,0.46,m/s
,30/11/2016,0.85,m/s
,01/12/2016,0.61,m/s
,02/12/2016,0.62,m/s
,03/12/2016,0.76,m/s
,04/12/2016,0.6,m/s
,05/12/2016,0.67,m/s
,06/12/2016,0.53,m/s
,07/12/2016,0.5,m/s
,08/12/2016,0.6,m/s
,09/12/2016,0.61,m/s
,10/12/2016,1.37,m/s
,11/12/2016,0.87,m/s
,12/12/2016,0.64,m/s
,13/12/2016,0.75,m/s
,14/12/2016,0.95,m/s
,15/12/2016,1.06,m/s
,16/12/2016,0.7,m/s
,17/12/2016,0.7,m/s
,18/12/2016,0.71,m/s
,19/12/2016,1.07,m/s
,20/12/2016,1.91,m/s
,21/12/2016,1.49,m/s
,22/12/2016,0.83,m/s
,23/12/2016,0.54,m/s
,24/12/2016,1.05,m/s
,25/12/2016,1.41,m/s
,26/12/2016,1.1,m/s
,27/12/2016,0.81,m/s
,28/12/2016,0.66,m/s
,29/12/2016,1.38,m/s
,30/12/2016,1.79,m/s
,31/12/2016,1.39,m/s
