Date,ws,sr,rh,temp,so2,no2,pm10
01/10/2016,0.75,110.78,67.23,28,12.66,40.59,169.05
02/10/2016,0.88,100.17,68.99,28.01,9.88,32.99,113.49
03/10/2016,0.76,101.69,67.63,29,10.17,34.72,164.79
04/10/2016,0.65,61.83,78.33,29.09,12.07,51.42,199.67
05/10/2016,0.48,62.42,80.25,27.64,10.46,43.39,61.63
06/10/2016,0.52,93.4,75.62,25.81,9.33,39.45,136.39
07/10/2016,0.93,109.96,69.38,25.89,11.92,38.21,133.39
08/10/2016,0.91,110.89,66.08,25.3,9.6,38.53,156.87
09/10/2016,0.6,106.94,68.41,26.01,13.49,52.06,192.13
10/10/2016,0.74,89.89,61.28,26.06,11.04,45.42,169.27
11/10/2016,0.95,110.01,61.45,26.24,8.73,39.23,182.88
12/10/2016,1.01,110.2,54.92,24.4,9.36,48.22,178.46
13/10/2016,1.21,111.17,47.72,26.53,9.7,49.32,151.94
14/10/2016,0.91,109.91,51.47,25.24,10.15,49.87,165.18
15/10/2016,0.84,107.07,55.43,24.84,13.29,62.73,219.67
16/10/2016,0.9,107.62,51.71,23.14,13.69,60.25,188.38
17/10/2016,0.8,106.82,52.88,23,10.35,60.78,212.41
18/10/2016,0.87,106.09,52.59,22.8,13.58,60.04,229.14
19/10/2016,0.79,105.38,51.45,22.54,10.84,54.84,201.45
20/10/2016,0.88,107.96,49.4,22.8,12.35,54,188.86
21/10/2016,1.06,107.64,48.66,22.9,12.62,49.38,195.09
22/10/2016,1.14,107.25,50.69,23.23,9.61,49.99,210.5
23/10/2016,1.07,100.52,51.69,24.35,10.82,53.24,276.31
24/10/2016,1.03,104.13,49.83,23.7,10.9,52.64,258.67
25/10/2016,1.19,105.61,51.18,22.16,11.21,51.9,188.72
26/10/2016,0.73,100.28,57.1,22.2,12.74,65.07,314.48
27/10/2016,0.84,100.97,57.86,22.12,12.42,67.99,377.33
28/10/2016,0.82,98.74,56.04,21.09,14,67.79,361.93
29/10/2016,0.45,85.52,60.93,20.47,31.84,123.68,477.85
30/10/2016,0.55,90.01,66.54,20.01,17.39,76.22,375.4
31/10/2016,0.49,87.25,67.77,20.02,30.67,65.46,472.62
01/11/2016,0.57,93.31,64.91,19.59,12.94,64.53,583.88
02/11/2016,0.48,76.89,68.99,19.84,12.74,81.69,684.56
03/11/2016,0.51,93.6,66.84,19.55,11.65,72.9,569.37
04/11/2016,0.6,87.65,65.63,18.02,11.53,74.97,455.68
05/11/2016,0.67,65.84,71.45,18.18,11.02,81.91,911.36
06/11/2016,0.44,65.05,74.69,17.09,12.2,96.38,287.89
07/11/2016,0.98,107.43,63.33,17.01,10,65.65,751.18
08/11/2016,1.33,91.53,51.71,18.02,11.22,64.31,488.58
09/11/2016,0.74,90.42,56.35,17.36,10.67,76.08,398.85
10/11/2016,0.55,87.7,56.34,16.02,13.85,100.61,408.45
11/11/2016,0.68,85.22,63.57,16.6,15.55,110.8,417.67
12/11/2016,0.66,82.08,65.96,16.05,13.86,93.33,389
13/11/2016,0.69,82.82,62.73,16.3,11.33,82.45,256.51
14/11/2016,0.49,31.12,57.01,17.08,8.68,71.5,219.32
15/11/2016,0.66,80.63,58.72,16.2,13.07,78.71,303.56
16/11/2016,0.8,83.19,55.59,16.11,10.5,85.31,352.91
17/11/2016,1.02,87.12,51.06,17.29,9.87,78.79,311.75
18/11/2016,0.88,84.47,55.06,15.06,11.04,78.44,305.99
19/11/2016,0.62,84.72,59.02,14,11.65,90.06,349.08
