Parameter,Date,Concentration,Unit
Relative Humidity(RH),01/10/2016,61.95,%
,02/10/2016,63.6,%
,03/10/2016,61.2,%
,04/10/2016,68.82,%
,05/10/2016,73.61,%
,06/10/2016,67.53,%
,07/10/2016,64.02,%
,08/10/2016,60.3,%
,09/10/2016,60.5,%
,10/10/2016,52.44,%
,11/10/2016,54.28,%
,12/10/2016,45.52,%
,13/10/2016,42.19,%
,14/10/2016,43.4,%
,15/10/2016,47.63,%
,16/10/2016,47.74,%
,17/10/2016,46.14,%
,18/10/2016,46.2,%
,19/10/2016,46.35,%
,20/10/2016,43.66,%
,21/10/2016,41.6,%
,22/10/2016,44.05,%
,23/10/2016,43.64,%
,24/10/2016,44.22,%
,25/10/2016,47.86,%
,26/10/2016,50.63,%
,27/10/2016,50.46,%
,28/10/2016,48.94,%
,29/10/2016,56.62,%
,30/10/2016,62.29,%
,31/10/2016,65.44,%
,01/11/2016,59.2,%
,02/11/2016,63.53,%
,03/11/2016,63.41,%
,04/11/2016,58.56,%
,05/11/2016,64.39,%
,06/11/2016,66.7,%
,07/11/2016,55.45,%
,08/11/2016,50.72,%
,09/11/2016,49.92,%
,10/11/2016,54.55,%
,11/11/2016,61.75,%
,12/11/2016,62.84,%
,13/11/2016,58.28,%
,14/11/2016,58.88,%
,15/11/2016,53.1,%
,16/11/2016,51.01,%
,17/11/2016,48.74,%
,18/11/2016,53.34,%
,19/11/2016,55.89,%
,20/11/2016,63.23,%
,21/11/2016,61.26,%
,22/11/2016,46.75,%
,23/11/2016,55.46,%
,24/11/2016,49.71,%
,25/11/2016,36.42,%
,26/11/2016,35.65,%
,27/11/2016,38.57,%
,28/11/2016,43.32,%
,29/11/2016,55.64,%
,30/11/2016,78.2,%
,01/12/2016,79.1,%
,02/12/2016,77.61,%
,03/12/2016,63.6,%
,04/12/2016,57.7,%
,05/12/2016,54.87,%
,06/12/2016,67.59,%
,07/12/2016,75.67,%
,08/12/2016,74.22,%
,09/12/2016,71.06,%
,10/12/2016,77.78,%
,11/12/2016,74.3,%
,12/12/2016,64.88,%
,13/12/2016,63.37,%
,14/12/2016,64.4,%
,15/12/2016,63.01,%
,16/12/2016,61.55,%
,17/12/2016,67.61,%
,18/12/2016,64.99,%
,19/12/2016,62.48,%
,20/12/2016,59.71,%
,21/12/2016,53.54,%
,22/12/2016,59.79,%
,23/12/2016,70.89,%
,24/12/2016,71.89,%
,25/12/2016,79.86,%
,26/12/2016,69.83,%
,27/12/2016,66.59,%
,28/12/2016,62.22,%
,29/12/2016,74.53,%
,30/12/2016,77.99,%
,31/12/2016,78.02,%
