Parameter,Date,Concentration,Unit
Solar Radiation(SR),01/10/2016,112.36,w/m2
,02/10/2016,95.75,w/m2
,03/10/2016,109.16,w/m2
,04/10/2016,88.16,w/m2
,05/10/2016,41.74,w/m2
,06/10/2016,97,w/m2
,07/10/2016,116.3,w/m2
,08/10/2016,117.57,w/m2
,09/10/2016,112.86,w/m2
,10/10/2016,100.1,w/m2
,11/10/2016,118.69,w/m2
,12/10/2016,119.69,w/m2
,13/10/2016,121.22,w/m2
,14/10/2016,118.9,w/m2
,15/10/2016,114.73,w/m2
,16/10/2016,115.76,w/m2
,17/10/2016,115.8,w/m2
,18/10/2016,114.2,w/m2
,19/10/2016,111.71,w/m2
,20/10/2016,113.25,w/m2
,21/10/2016,112.17,w/m2
,22/10/2016,112.45,w/m2
,23/10/2016,104.76,w/m2
,24/10/2016,104.93,w/m2
,25/10/2016,110.17,w/m2
,26/10/2016,106.51,w/m2
,27/10/2016,106.28,w/m2
,28/10/2016,104.28,w/m2
,29/10/2016,94.05,w/m2
,30/10/2016,94.23,w/m2
,31/10/2016,85.22,w/m2
,01/11/2016,96.05,w/m2
,02/11/2016,73.28,w/m2
,03/11/2016,87.13,w/m2
,04/11/2016,93.9,w/m2
,05/11/2016,70.31,w/m2
,06/11/2016,72.42,w/m2
,07/11/2016,83.15,w/m2
,08/11/2016,95.6,w/m2
,09/11/2016,93.48,w/m2
,10/11/2016,85.65,w/m2
,11/11/2016,87.62,w/m2
,12/11/2016,88.47,w/m2
,13/11/2016,86.17,w/m2
,14/11/2016,25.47,w/m2
,15/11/2016,81.94,w/m2
,16/11/2016,87.38,w/m2
,17/11/2016,89.39,w/m2
,18/11/2016,91.94,w/m2
,19/11/2016,87.39,w/m2
,20/11/2016,88.14,w/m2
,21/11/2016,88.38,w/m2
,22/11/2016,91.41,w/m2
,23/11/2016,88.15,w/m2
,24/11/2016,84.32,w/m2
,25/11/2016,94.53,w/m2
,26/11/2016,94.59,w/m2
,27/11/2016,94.14,w/m2
,28/11/2016,86.21,w/m2
,29/11/2016,88.29,w/m2
,30/11/2016,64.22,w/m2
,01/12/2016,62.47,w/m2
,02/12/2016,69.57,w/m2
,03/12/2016,87.44,w/m2
,04/12/2016,89.51,w/m2
,05/12/2016,86.57,w/m2
,06/12/2016,68.14,w/m2
,07/12/2016,66.26,w/m2
,08/12/2016,67.53,w/m2
,09/12/2016,65.96,w/m2
,10/12/2016,62.26,w/m2
,11/12/2016,67.11,w/m2
,12/12/2016,73.31,w/m2
,13/12/2016,65.33,w/m2
,14/12/2016,71.68,w/m2
,15/12/2016,73.31,w/m2
,16/12/2016,70.33,w/m2
,17/12/2016,59.2,w/m2
,18/12/2016,69.09,w/m2
,19/12/2016,65.99,w/m2
,20/12/2016,53.94,w/m2
,21/12/2016,72.88,w/m2
,22/12/2016,70.69,w/m2
,23/12/2016,59.18,w/m2
,24/12/2016,60.78,w/m2
,25/12/2016,14.98,w/m2
,26/12/2016,70.11,w/m2
,27/12/2016,48.98,w/m2
,28/12/2016,68.23,w/m2
,29/12/2016,62.13,w/m2
,30/12/2016,52.59,w/m2
,31/12/2016,53.81,w/m2
